service_id,capacity,duration,price,capacity_window_1h,time_distance_competitor_-2,price_competitor_-2,duration_competitor_-2,time_distance_competitor_-1,price_competitor_-1,duration_competitor_-1,time_distance_competitor_1,price_competitor_1,duration_competitor_1,time_distance_competitor_2,price_competitor_2,duration_competitor_2,is_holiday_pm1,is_holiday_madrid_pm1,is_holiday_catalonia_pm1,month_sin,month_cos,day_of_week_sin,day_of_week_cos,departure_time_sin,departure_time_cos,train_type_AVE,train_type_AVLO,train_type_IRYO,train_type_OUIGO,train_type_competitor_-2_AVE,train_type_competitor_-2_AVLO,train_type_competitor_-2_IRYO,train_type_competitor_-2_OUIGO,train_type_competitor_-1_AVE,train_type_competitor_-1_AVLO,train_type_competitor_-1_IRYO,train_type_competitor_-1_OUIGO,train_type_competitor_1_AVE,train_type_competitor_1_AVLO,train_type_competitor_1_IRYO,train_type_competitor_1_OUIGO,train_type_competitor_2_AVE,train_type_competitor_2_AVLO,train_type_competitor_2_IRYO,train_type_competitor_2_OUIGO,passengers
00007_01-01-2025-16.27,414,172.0,84.98,875.0,-60.0,33.63,199.0,-30.0,41.95,157.0,10.2,34.66,157.0,30.0,123.44,157.0,1,1,1,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,-0.9187912101488984,-0.39474385638426707,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,11
00002_01-01-2025-16.37,461,157.0,34.66,1289.0,-40.2,41.95,157.0,-10.2,84.98,172.0,19.8,123.44,157.0,39.6,52.99,157.0,1,1,1,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,-0.9354440308298674,-0.35347484377925703,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,461
00004_01-01-2025-16.57,414,157.0,123.44,1845.0,-30.0,84.98,172.0,-19.8,34.66,157.0,19.8,52.99,157.0,25.2,37.42,172.0,1,1,1,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,-0.9624552364536471,-0.27144044986507504,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
00015_01-01-2025-17.17,509,157.0,52.99,1798.0,-39.6,34.66,157.0,-19.8,123.44,157.0,5.4,37.42,172.0,10.2,67.92,199.0,1,1,1,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,-0.9822872507286887,-0.18738131458572463,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,509
00009_01-01-2025-17.22,461,172.0,37.42,1798.0,-25.2,123.44,157.0,-5.4,52.99,157.0,4.8,67.92,199.0,34.8,38.05,157.0,1,1,1,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,-0.9864292571764955,-0.16418684656886262,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,461
00006_01-01-2025-17.27,414,199.0,67.92,1384.0,-10.2,52.99,157.0,-4.8,37.42,172.0,30.0,38.05,157.0,60.0,64.88,177.0,1,1,1,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,-0.9896513868196702,-0.1434926219911794,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,39
00004_01-01-2025-17.57,414,157.0,38.05,414.0,-34.8,37.42,172.0,-30.0,67.92,199.0,30.0,64.88,177.0,34.8,54.72,157.0,1,1,1,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,-0.999914327574007,-0.013089595571344698,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,414
00016_01-01-2025-18.27,414,177.0,64.88,875.0,-60.0,67.92,199.0,-30.0,38.05,157.0,4.8,54.72,157.0,30.0,99.32,157.0,1,1,1,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,-0.9930684569549263,0.11753739745783724,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,79
00002_01-01-2025-18.32,461,157.0,54.72,1289.0,-34.8,38.05,157.0,-4.8,64.88,177.0,25.2,99.32,157.0,57.0,27.59,172.0,1,1,1,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,-0.9903891431021473,0.138308876162719,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,232
00004_01-01-2025-18.57,414,157.0,99.32,875.0,-30.0,64.88,177.0,-25.2,54.72,157.0,31.8,27.59,172.0,37.2,30.58,201.0,1,1,1,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,-0.9692309097067545,0.2461532930289925,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
00009_01-01-2025-19.29,461,172.0,27.59,1042.0,-57.0,54.72,157.0,-31.8,99.32,157.0,5.4,30.58,201.0,36.0,67.27,157.0,1,1,1,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,-0.9258705848099948,0.37784078681846683,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,461
00019_01-01-2025-19.34,581,201.0,30.58,1042.0,-37.2,99.32,157.0,-5.4,27.59,172.0,30.6,67.27,157.0,48.0,52.08,172.0,1,1,1,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,-0.9167117510316201,0.39954920287812,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,469
00004_01-01-2025-20.05,414,157.0,67.27,1289.0,-36.0,27.59,172.0,-30.6,30.58,201.0,17.4,52.08,172.0,22.2,32.28,201.0,1,1,1,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,-0.8553642601605073,0.5180270093731292,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,32
00009_01-01-2025-20.22,461,172.0,52.08,1289.0,-48.0,30.58,201.0,-17.4,67.27,157.0,4.8,32.28,201.0,39.6,46.26,172.0,1,1,1,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,-0.8136084495007868,0.5814131843198308,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,57
00020_01-01-2025-20.27,414,201.0,32.28,1289.0,-22.2,67.27,157.0,-4.8,52.08,172.0,34.8,46.26,172.0,40.2,63.05,172.0,1,1,1,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,-0.8012538126910608,0.598324600570659,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,414
00005_01-01-2025-21.02,509,172.0,46.26,923.0,-39.6,52.08,172.0,-34.8,32.28,201.0,5.4,63.05,172.0,550.2,33.37,157.0,1,1,1,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,-0.7015314257708556,0.7126385189252056,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,52
00007_01-01-2025-21.07,414,172.0,63.05,923.0,-40.2,32.28,201.0,-5.4,46.26,172.0,544.8,33.37,157.0,555.0,37.14,157.0,1,1,1,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,-0.6845471059286883,0.7289686274214119,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,2
00001_02-01-2025-06.12,581,157.0,33.37,1401.0,-550.2,46.26,172.0,-544.8,63.05,172.0,10.2,37.14,157.0,15.0,47.73,178.0,1,1,1,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0.9986295347545738,-0.05233595624294384,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,581
00002_02-01-2025-06.22,461,157.0,37.14,1401.0,-555.0,63.05,172.0,-10.2,33.37,157.0,4.8,47.73,178.0,34.8,62.84,157.0,1,1,1,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0.9953121781612655,-0.09671436296578392,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,461
00003_02-01-2025-06.27,359,178.0,47.73,1401.0,-15.0,33.37,157.0,-4.8,37.14,157.0,30.0,62.84,157.0,34.8,36.85,172.0,1,1,1,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0.9930684569549263,-0.11753739745783758,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,359
00004_02-01-2025-06.57,414,157.0,62.84,1384.0,-34.8,37.14,157.0,-30.0,47.73,178.0,4.8,36.85,172.0,25.2,29.99,157.0,1,1,1,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0.9692309097067544,-0.24615329302899283,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,414
00005_02-01-2025-07.02,509,172.0,36.85,1798.0,-34.8,47.73,178.0,-4.8,62.84,157.0,20.4,29.99,157.0,25.2,39.79,199.0,1,1,1,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0.963863295733281,-0.2663973482191175,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,509
00002_02-01-2025-07.22,461,157.0,29.99,1798.0,-25.2,62.84,157.0,-20.4,36.85,172.0,4.8,39.79,199.0,34.8,50.19,157.0,1,1,1,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0.9363662190354899,-0.3510246484923544,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,461
00006_02-01-2025-07.27,414,199.0,39.79,1384.0,-25.2,36.85,172.0,-4.8,29.99,157.0,30.0,50.19,157.0,60.0,57.21,172.0,1,1,1,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0.9288095528719242,-0.3705574375098363,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,414
00004_02-01-2025-07.57,414,157.0,50.19,414.0,-34.8,29.99,157.0,-30.0,39.79,199.0,30.0,57.21,172.0,34.8,43.32,157.0,1,1,1,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0.8724960070727973,-0.4886212414969547,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,414
00007_02-01-2025-08.27,414,172.0,57.21,1289.0,-60.0,39.79,199.0,-30.0,50.19,157.0,4.8,43.32,157.0,30.0,66.66,164.0,1,1,1,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0.8012538126910609,-0.5983246005706587,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,414
00002_02-01-2025-08.32,461,157.0,43.32,1289.0,-34.8,50.19,157.0,-4.8,57.21,172.0,25.2,66.66,164.0,50.4,34.72,172.0,1,1,1,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0.7885477194774019,-0.6149735718768643,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,461
00008_02-01-2025-08.57,414,164.0,66.66,1336.0,-30.0,57.21,172.0,-25.2,43.32,157.0,25.2,34.72,172.0,30.0,62.91,194.0,1,1,1,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0.7163019434246544,-0.69779045984168,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,414
00009_02-01-2025-09.22,461,172.0,34.72,1289.0,-50.4,43.32,157.0,-25.2,66.66,164.0,4.8,62.91,194.0,34.8,43.04,172.0,1,1,1,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0.6354046086841412,-0.7721793724666267,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,461
00010_02-01-2025-09.27,414,194.0,62.91,875.0,-30.0,66.66,164.0,-4.8,34.72,172.0,30.0,43.04,172.0,34.8,58.66,182.0,1,1,1,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0.6190939493098342,-0.7853169308807447,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,414
00009_02-01-2025-09.57,461,172.0,43.04,970.0,-34.8,34.72,172.0,-30.0,62.91,194.0,4.8,58.66,182.0,30.0,53.45,172.0,1,1,1,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0.5112930860770522,-0.8594064115014527,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,461
00011_02-01-2025-10.02,509,182.0,58.66,1551.0,-34.8,62.91,194.0,-4.8,43.04,172.0,25.2,53.45,172.0,80.4,48.13,172.0,1,1,1,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0.49318290113396607,-0.8699256439656694,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,398
00012_02-01-2025-10.27,581,172.0,53.45,1090.0,-30.0,43.04,172.0,-25.2,58.66,182.0,55.2,48.13,172.0,60.0,60.59,199.0,1,1,1,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0.3947438563842674,-0.9187912101488982,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,54
00009_02-01-2025-11.22,461,172.0,48.13,1287.0,-80.4,58.66,182.0,-55.2,53.45,172.0,4.8,60.59,199.0,60.0,53.83,172.0,1,1,1,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0.164186846568863,-0.9864292571764954,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,461
00006_02-01-2025-11.27,826,199.0,60.59,1287.0,-60.0,53.45,172.0,-4.8,48.13,172.0,55.2,53.83,172.0,60.0,51.88,197.0,1,1,1,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0.1434926219911798,-0.9896513868196701,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,214
00009_02-01-2025-12.22,461,172.0,53.83,839.0,-60.0,48.13,172.0,-55.2,60.59,199.0,4.8,51.88,197.0,34.8,45.75,157.0,1,1,1,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,-0.09671436296578365,-0.9953121781612655,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,388
00013_02-01-2025-12.27,378,197.0,51.88,839.0,-60.0,60.59,199.0,-4.8,53.83,172.0,30.0,45.75,157.0,51.0,55.14,184.0,1,1,1,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,-0.11753739745783774,-0.9930684569549263,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,378
00004_02-01-2025-14.57,414,157.0,92.16,875.0,-30.0,87.57,177.0,-15.0,42.9,179.0,30.0,32.28,199.0,60.0,103.74,157.0,1,1,1,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,-0.6977904598416796,-0.7163019434246547,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,160
00018_02-01-2025-15.27,571,199.0,32.28,571.0,-45.0,42.9,179.0,-30.0,92.16,157.0,30.0,103.74,157.0,60.0,44.88,172.0,1,1,1,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,-0.7853169308807447,-0.6190939493098343,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,571
00004_02-01-2025-15.57,414,157.0,103.74,414.0,-60.0,92.16,157.0,-30.0,32.28,199.0,30.0,44.88,172.0,40.2,37.25,157.0,1,1,1,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,-0.8594064115014524,-0.5112930860770526,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,405
00007_02-01-2025-16.27,414,172.0,44.88,875.0,-60.0,32.28,199.0,-30.0,103.74,157.0,10.2,37.25,157.0,30.0,145.9,157.0,1,1,1,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,-0.9187912101488984,-0.39474385638426707,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,414
00002_02-01-2025-16.37,461,157.0,37.25,1289.0,-40.2,103.74,157.0,-10.2,44.88,172.0,19.8,145.9,157.0,39.6,43.64,157.0,1,1,1,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,-0.9354440308298674,-0.35347484377925703,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,461
00004_02-01-2025-16.57,414,157.0,145.9,1845.0,-30.0,44.88,172.0,-19.8,37.25,157.0,19.8,43.64,157.0,25.2,72.86,172.0,1,1,1,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,-0.9624552364536471,-0.27144044986507504,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,27
00015_02-01-2025-17.17,509,157.0,43.64,1798.0,-39.6,37.25,157.0,-19.8,145.9,157.0,5.4,72.86,172.0,10.2,71.8,199.0,1,1,1,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,-0.9822872507286887,-0.18738131458572463,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,509
