trip_id,origin,destination,tsp,train_type,departure,arrival,duration,service_id,capacity,train_model,original_price_scraping,BasicSeat
00004,60000,71801,AVE,AVE,2025-01-01 16:57:00,2025-01-01 19:34:00,0 days 02:37:00,00004_01-01-2025-16.57,414.0,S-103,108.5,98.75
00015,60000,71801,OUIGO,OUIGO,2025-01-01 17:17:00,2025-01-01 19:54:00,0 days 02:37:00,00015_01-01-2025-17.17,509.0,S-108,39.0,52.99
00009,60000,71801,IRYO,IRYO,2025-01-01 17:22:00,2025-01-01 20:14:00,0 days 02:52:00,00009_01-01-2025-17.22,461.0,S-109,31.2,37.42
00006,60000,71801,AVE,AVE,2025-01-01 17:27:00,2025-01-01 20:46:00,0 days 03:19:00,00006_01-01-2025-17.27,414.0,S-103,45.95,54.34
00004,60000,71801,AVE,AVE,2025-01-01 17:57:00,2025-01-01 20:34:00,0 days 02:37:00,00004_01-01-2025-17.57,414.0,S-103,45.95,30.44
00016,60000,71801,AVE,AVE,2025-01-01 18:27:00,2025-01-01 21:24:00,0 days 02:57:00,00016_01-01-2025-18.27,414.0,S-103,57.45,51.9
00002,60000,71801,IRYO,IRYO,2025-01-01 18:32:00,2025-01-01 21:09:00,0 days 02:37:00,00002_01-01-2025-18.32,461.0,S-109,35.57,54.72
00004,60000,71801,AVE,AVE,2025-01-01 18:57:00,2025-01-01 21:34:00,0 days 02:37:00,00004_01-01-2025-18.57,414.0,S-103,94.9,79.46
00009,60000,71801,IRYO,IRYO,2025-01-01 19:29:00,2025-01-01 22:21:00,0 days 02:52:00,00009_01-01-2025-19.29,461.0,S-109,34.77,27.59
00019,60000,71801,AVLO,AVLO,2025-01-01 19:34:00,2025-01-01 22:55:00,0 days 03:21:00,00019_01-01-2025-19.34,581.0,S-106,25.0,24.46
00004,60000,71801,AVE,AVE,2025-01-01 20:05:00,2025-01-01 22:42:00,0 days 02:37:00,00004_01-01-2025-20.05,414.0,S-103,40.7,53.82
00009,60000,71801,IRYO,IRYO,2025-01-01 20:22:00,2025-01-01 23:14:00,0 days 02:52:00,00009_01-01-2025-20.22,461.0,S-109,29.26,52.08
00020,60000,71801,AVE,AVE,2025-01-01 20:27:00,2025-01-01 23:48:00,0 days 03:21:00,00020_01-01-2025-20.27,414.0,S-103,34.45,25.82
00005,60000,71801,OUIGO,OUIGO,2025-01-01 21:02:00,2025-01-01 23:54:00,0 days 02:52:00,00005_01-01-2025-21.02,509.0,S-108,33.0,46.26
00007,60000,71801,AVE,AVE,2025-01-01 21:07:00,2025-01-01 23:59:00,0 days 02:52:00,00007_01-01-2025-21.07,414.0,S-103,45.85,50.44
00001,60000,71801,AVLO,AVLO,2025-01-02 06:12:00,2025-01-02 08:49:00,0 days 02:37:00,00001_02-01-2025-06.12,581.0,S-106,25.0,26.7
00002,60000,71801,IRYO,IRYO,2025-01-02 06:22:00,2025-01-02 08:59:00,0 days 02:37:00,00002_02-01-2025-06.22,461.0,S-109,29.26,37.14
00003,60000,71801,AVE,AVE,2025-01-02 06:27:00,2025-01-02 09:25:00,0 days 02:58:00,00003_02-01-2025-06.27,359.0,S-103,34.45,38.18
00004,60000,71801,AVE,AVE,2025-01-02 06:57:00,2025-01-02 09:34:00,0 days 02:37:00,00004_02-01-2025-06.57,414.0,S-103,54.25,50.27
00005,60000,71801,OUIGO,OUIGO,2025-01-02 07:02:00,2025-01-02 09:54:00,0 days 02:52:00,00005_02-01-2025-07.02,509.0,S-108,33.0,36.85
00002,60000,71801,IRYO,IRYO,2025-01-02 07:22:00,2025-01-02 09:59:00,0 days 02:37:00,00002_02-01-2025-07.22,461.0,S-109,31.04,29.99
00006,60000,71801,AVE,AVE,2025-01-02 07:27:00,2025-01-02 10:46:00,0 days 03:19:00,00006_02-01-2025-07.27,414.0,S-103,34.45,31.83
00004,60000,71801,AVE,AVE,2025-01-02 07:57:00,2025-01-02 10:34:00,0 days 02:37:00,00004_02-01-2025-07.57,414.0,S-103,40.7,40.15
00007,60000,71801,AVE,AVE,2025-01-02 08:27:00,2025-01-02 11:19:00,0 days 02:52:00,00007_02-01-2025-08.27,414.0,S-103,45.95,45.77
00002,60000,71801,IRYO,IRYO,2025-01-02 08:32:00,2025-01-02 11:09:00,0 days 02:37:00,00002_02-01-2025-08.32,461.0,S-109,44.01,43.32
00008,60000,71801,AVE,AVE,2025-01-02 08:57:00,2025-01-02 11:41:00,0 days 02:44:00,00008_02-01-2025-08.57,414.0,S-103,54.25,53.33
00009,60000,71801,IRYO,IRYO,2025-01-02 09:22:00,2025-01-02 12:14:00,0 days 02:52:00,00009_02-01-2025-09.22,461.0,S-109,55.5,34.72
00010,60000,71801,AVE,AVE,2025-01-02 09:27:00,2025-01-02 12:41:00,0 days 03:14:00,00010_02-01-2025-09.27,414.0,S-103,45.95,50.33
00009,60000,71801,IRYO,IRYO,2025-01-02 09:57:00,2025-01-02 12:49:00,0 days 02:52:00,00009_02-01-2025-09.57,461.0,S-109,50.78,43.04
00011,60000,71801,OUIGO,OUIGO,2025-01-02 10:02:00,2025-01-02 13:04:00,0 days 03:02:00,00011_02-01-2025-10.02,509.0,S-108,45.0,58.66
00012,60000,71801,AVLO,AVLO,2025-01-02 10:27:00,2025-01-02 13:19:00,0 days 02:52:00,00012_02-01-2025-10.27,581.0,S-106,45.0,42.76
00009,60000,71801,IRYO,IRYO,2025-01-02 11:22:00,2025-01-02 14:14:00,0 days 02:52:00,00009_02-01-2025-11.22,461.0,S-109,54.46,48.13
00006,60000,71801,AVE,AVE,2025-01-02 11:27:00,2025-01-02 14:46:00,0 days 03:19:00,00006_02-01-2025-11.27,826.0,S-103,45.95,48.47
00009,60000,71801,IRYO,IRYO,2025-01-02 12:22:00,2025-01-02 15:14:00,0 days 02:52:00,00009_02-01-2025-12.22,461.0,S-109,48.96,53.83
00013,60000,71801,AVE,AVE,2025-01-02 12:27:00,2025-01-02 15:44:00,0 days 03:17:00,00013_02-01-2025-12.27,378.0,S-103,40.7,41.5
00004,60000,71801,AVE,AVE,2025-01-02 12:57:00,2025-01-02 15:34:00,0 days 02:37:00,00004_02-01-2025-12.57,414.0,S-103,47.45,36.6
00014,60000,71801,AVE INT,AVE INT,2025-01-02 13:18:00,2025-01-02 16:22:00,0 days 03:04:00,00014_02-01-2025-13.18,339.0,S-100,45.95,44.11
00004,60000,71801,AVE,AVE,2025-01-02 13:57:00,2025-01-02 16:34:00,0 days 02:37:00,00004_02-01-2025-13.57,414.0,s-103,,
00009,60000,71801,IRYO,IRYO,2025-01-02 14:02:00,2025-01-02 16:54:00,0 days 02:52:00,00009_02-01-2025-14.02,461.0,S-109,39.56,
00015,60000,71801,OUIGO,OUIGO,2025-01-02 14:12:00,2025-01-02 16:49:00,0 days 02:37:00,00015_02-01-2025-14.12,509.0,S-108,33.0,
00016,60000,71801,AVE,AVE,2025-01-02 14:27:00,2025-01-02 17:24:00,0 days 02:57:00,00016_02-01-2025-14.27,291.0,S-100,68.95,70.06
00017,60000,71801,IRYO,IRYO,2025-01-02 14:42:00,2025-01-02 17:41:00,0 days 02:59:00,00017_02-01-2025-14.42,461.0,S-109,41.04,42.9
00004,60000,71801,AVE,AVE,2025-01-02 14:57:00,2025-01-02 17:34:00,0 days 02:37:00,00004_02-01-2025-14.57,414.0,S-103,67.8,73.73
00018,60000,71801,AVLO,AVLO,2025-01-02 15:27:00,2025-01-02 18:46:00,0 days 03:19:00,00018_02-01-2025-15.27,571.0,S-106,35.0,25.82
00004,60000,71801,AVE,AVE,2025-01-02 15:57:00,2025-01-02 18:34:00,0 days 02:37:00,00004_02-01-2025-15.57,414.0,S-103,81.35,82.99
00007,60000,71801,AVE,AVE,2025-01-02 16:27:00,2025-01-02 19:19:00,0 days 02:52:00,00007_02-01-2025-16.27,414.0,S-103,57.45,35.9
00002,60000,71801,IRYO,IRYO,2025-01-02 16:37:00,2025-01-02 19:14:00,0 days 02:37:00,00002_02-01-2025-16.37,461.0,S-109,39.56,37.25
00004,60000,71801,AVE,AVE,2025-01-02 16:57:00,2025-01-02 19:34:00,0 days 02:37:00,00004_02-01-2025-16.57,414.0,S-103,122.05,116.72
00015,60000,71801,OUIGO,OUIGO,2025-01-02 17:17:00,2025-01-02 19:54:00,0 days 02:37:00,00015_02-01-2025-17.17,509.0,S-108,39.0,43.64
00009,60000,71801,IRYO,IRYO,2025-01-02 17:22:00,2025-01-02 20:14:00,0 days 02:52:00,00009_02-01-2025-17.22,461.0,S-109,54.46,72.86
00006,60000,71801,AVE,AVE,2025-01-02 17:27:00,2025-01-02 20:46:00,0 days 03:19:00,00006_02-01-2025-17.27,414.0,S-103,80.45,57.44
00004,60000,71801,AVE,AVE,2025-01-02 17:57:00,2025-01-02 20:34:00,0 days 02:37:00,00004_02-01-2025-17.57,414.0,S-103,45.95,54.87
00016,60000,71801,AVE,AVE,2025-01-02 18:27:00,2025-01-02 21:24:00,0 days 02:57:00,00016_02-01-2025-18.27,414.0,S-103,57.45,48.3
00002,60000,71801,IRYO,IRYO,2025-01-02 18:32:00,2025-01-02 21:09:00,0 days 02:37:00,00002_02-01-2025-18.32,461.0,S-109,32.58,44.96
00004,60000,71801,AVE,AVE,2025-01-02 18:57:00,2025-01-02 21:34:00,0 days 02:37:00,00004_02-01-2025-18.57,414.0,S-103,67.8,82.44
00009,60000,71801,IRYO,IRYO,2025-01-02 19:29:00,2025-01-02 22:21:00,0 days 02:52:00,00009_02-01-2025-19.29,461.0,S-109,41.04,48.17
00019,60000,71801,AVLO,AVLO,2025-01-02 19:34:00,2025-01-02 22:55:00,0 days 03:21:00,00019_02-01-2025-19.34,581.0,S-106,29.0,28.57
00004,60000,71801,AVE,AVE,2025-01-02 20:05:00,2025-01-02 22:42:00,0 days 02:37:00,00004_02-01-2025-20.05,414.0,S-103,47.45,52.28
00009,60000,71801,IRYO,IRYO,2025-01-02 20:22:00,2025-01-02 23:14:00,0 days 02:52:00,00009_02-01-2025-20.22,461.0,S-109,29.26,35.82
00020,60000,71801,AVE,AVE,2025-01-02 20:27:00,2025-01-02 23:48:00,0 days 03:21:00,00020_02-01-2025-20.27,414.0,S-103,40.2,43.17
00005,60000,71801,OUIGO,OUIGO,2025-01-02 21:02:00,2025-01-02 23:54:00,0 days 02:52:00,00005_02-01-2025-21.02,509.0,S-108,33.0,32.42
00007,60000,71801,AVE,AVE,2025-01-02 21:07:00,2025-01-02 23:59:00,0 days 02:52:00,00007_02-01-2025-21.07,414.0,S-103,45.85,58.36
00002,60000,71801,IRYO,IRYO,2025-01-03 06:22:00,2025-01-03 08:59:00,0 days 02:37:00,00002_03-01-2025-06.22,461.0,S-109,27.58,17.23
00021,60000,71801,AVLO,AVLO,2025-01-03 06:27:00,2025-01-03 09:25:00,0 days 02:58:00,00021_03-01-2025-06.27,527.0,S-106,19.0,18.09
00004,60000,71801,AVE,AVE,2025-01-03 06:57:00,2025-01-03 09:34:00,0 days 02:37:00,00004_03-01-2025-06.57,414.0,S-103,40.7,31.09
00005,60000,71801,OUIGO,OUIGO,2025-01-03 07:02:00,2025-01-03 09:54:00,0 days 02:52:00,00005_03-01-2025-07.02,509.0,S-108,29.0,59.76
00002,60000,71801,IRYO,IRYO,2025-01-03 07:22:00,2025-01-03 09:59:00,0 days 02:37:00,00002_03-01-2025-07.22,461.0,S-109,30.14,30.94
00006,60000,71801,AVE,AVE,2025-01-03 07:27:00,2025-01-03 10:46:00,0 days 03:19:00,00006_03-01-2025-07.27,414.0,S-103,57.45,46.86
00004,60000,71801,AVE,AVE,2025-01-03 07:57:00,2025-01-03 10:34:00,0 days 02:37:00,00004_03-01-2025-07.57,414.0,S-103,40.7,32.66
00002,60000,71801,IRYO,IRYO,2025-01-03 08:32:00,2025-01-03 11:09:00,0 days 02:37:00,00002_03-01-2025-08.32,461.0,S-109,32.59,22.63
00008,60000,71801,AVE,AVE,2025-01-03 08:57:00,2025-01-03 11:41:00,0 days 02:44:00,00008_03-01-2025-08.57,414.0,S-103,94.9,91.47
00009,60000,71801,IRYO,IRYO,2025-01-03 09:22:00,2025-01-03 12:14:00,0 days 02:52:00,00009_03-01-2025-09.22,461.0,S-109,44.01,47.42
00010,60000,71801,AVE,AVE,2025-01-03 09:27:00,2025-01-03 12:41:00,0 days 03:14:00,00010_03-01-2025-09.27,414.0,S-103,57.45,57.6
00009,60000,71801,IRYO,IRYO,2025-01-03 09:57:00,2025-01-03 12:49:00,0 days 02:52:00,00009_03-01-2025-09.57,461.0,S-109,57.59,65.39
00011,60000,71801,OUIGO,OUIGO,2025-01-03 10:02:00,2025-01-03 13:04:00,0 days 03:02:00,00011_03-01-2025-10.02,509.0,S-108,42.0,47.46
00012,60000,71801,AVLO,AVLO,2025-01-03 10:27:00,2025-01-03 13:19:00,0 days 02:52:00,00012_03-01-2025-10.27,581.0,S-106,49.0,45.7
00009,60000,71801,IRYO,IRYO,2025-01-03 11:22:00,2025-01-03 14:14:00,0 days 02:52:00,00009_03-01-2025-11.22,461.0,S-109,48.96,74.44
00006,60000,71801,AVE,AVE,2025-01-03 11:27:00,2025-01-03 14:46:00,0 days 03:19:00,00006_03-01-2025-11.27,826.0,S-103,91.9,89.31
00009,60000,71801,IRYO,IRYO,2025-01-03 12:22:00,2025-01-03 15:14:00,0 days 02:52:00,00009_03-01-2025-12.22,461.0,S-109,35.57,74.54
00013,60000,71801,AVE,AVE,2025-01-03 12:27:00,2025-01-03 15:44:00,0 days 03:17:00,00013_03-01-2025-12.27,378.0,S-103,40.7,49.93
00004,60000,71801,AVE,AVE,2025-01-03 12:57:00,2025-01-03 15:34:00,0 days 02:37:00,00004_03-01-2025-12.57,414.0,S-103,67.8,52.72
00014,60000,71801,AVE INT,AVE INT,2025-01-03 13:18:00,2025-01-03 16:22:00,0 days 03:04:00,00014_03-01-2025-13.18,339.0,S-100,45.95,44.11
00004,60000,71801,AVE,AVE,2025-01-03 13:57:00,2025-01-03 16:34:00,0 days 02:37:00,00004_03-01-2025-13.57,414.0,S-103,67.8,72.26
00009,60000,71801,IRYO,IRYO,2025-01-03 14:02:00,2025-01-03 16:54:00,0 days 02:52:00,00009_03-01-2025-14.02,461.0,S-109,54.46,70.11
00015,60000,71801,OUIGO,OUIGO,2025-01-03 14:12:00,2025-01-03 16:49:00,0 days 02:37:00,00015_03-01-2025-14.12,509.0,S-108,39.0,58.44
00016,60000,71801,AVE,AVE,2025-01-03 14:27:00,2025-01-03 17:24:00,0 days 02:57:00,00016_03-01-2025-14.27,291.0,S-100,80.45,69.78
00017,60000,71801,IRYO,IRYO,2025-01-03 14:42:00,2025-01-03 17:41:00,0 days 02:59:00,00017_03-01-2025-14.42,461.0,S-109,80.1,82.33
00004,60000,71801,AVE,AVE,2025-01-03 14:57:00,2025-01-03 17:34:00,0 days 02:37:00,00004_03-01-2025-14.57,414.0,S-103,81.35,85.35
00018,60000,71801,AVLO,AVLO,2025-01-03 15:27:00,2025-01-03 18:46:00,0 days 03:19:00,00018_03-01-2025-15.27,547.0,S-106,45.0,41.02
00004,60000,71801,AVE,AVE,2025-01-03 15:57:00,2025-01-03 18:34:00,0 days 02:37:00,00004_03-01-2025-15.57,414.0,S-103,81.35,74.01
00007,60000,71801,AVE,AVE,2025-01-03 16:27:00,2025-01-03 19:19:00,0 days 02:52:00,00007_03-01-2025-16.27,414.0,S-103,68.95,64.84
00002,60000,71801,IRYO,IRYO,2025-01-03 16:37:00,2025-01-03 19:14:00,0 days 02:37:00,00002_03-01-2025-16.37,461.0,S-109,54.46,59.52
00004,60000,71801,AVE,AVE,2025-01-03 16:57:00,2025-01-03 19:34:00,0 days 02:37:00,00004_03-01-2025-16.57,414.0,S-103,81.35,79.3
00015,60000,71801,OUIGO,OUIGO,2025-01-03 17:17:00,2025-01-03 19:54:00,0 days 02:37:00,00015_03-01-2025-17.17,509.0,S-108,35.0,44.56
00009,60000,71801,IRYO,IRYO,2025-01-03 17:22:00,2025-01-03 20:14:00,0 days 02:52:00,00009_03-01-2025-17.22,461.0,S-109,60.58,72.57
00018,60000,71801,AVLO,AVLO,2025-01-03 17:27:00,2025-01-03 20:46:00,0 days 03:19:00,00018_03-01-2025-17.27,581.0,S-106,45.0,41.45
00004,60000,71801,AVE,AVE,2025-01-03 17:57:00,2025-01-03 20:34:00,0 days 02:37:00,00004_03-01-2025-17.57,414.0,S-103,45.95,54.74
00016,60000,71801,AVE,AVE,2025-01-03 18:27:00,2025-01-03 21:24:00,0 days 02:57:00,00016_03-01-2025-18.27,836.0,S-103,68.95,63.67
00002,60000,71801,IRYO,IRYO,2025-01-03 18:32:00,2025-01-03 21:09:00,0 days 02:37:00,00002_03-01-2025-18.32,461.0,S-109,31.97,48.75
00004,60000,71801,AVE,AVE,2025-01-03 18:57:00,2025-01-03 21:34:00,0 days 02:37:00,00004_03-01-2025-18.57,414.0,S-103,54.25,60.45
00009,60000,71801,IRYO,IRYO,2025-01-03 19:29:00,2025-01-03 22:21:00,0 days 02:52:00,00009_03-01-2025-19.29,461.0,S-109,62.84,67.39
00019,60000,71801,AVLO,AVLO,2025-01-03 19:34:00,2025-01-03 22:55:00,0 days 03:21:00,00019_03-01-2025-19.34,581.0,S-106,29.0,33.49
00004,60000,71801,AVE,AVE,2025-01-03 20:05:00,2025-01-03 22:42:00,0 days 02:37:00,00004_03-01-2025-20.05,414.0,S-103,54.25,50.67
00009,60000,71801,IRYO,IRYO,2025-01-03 20:22:00,2025-01-03 23:14:00,0 days 02:52:00,00009_03-01-2025-20.22,461.0,S-109,29.26,23.97
00020,60000,71801,AVE,AVE,2025-01-03 20:27:00,2025-01-03 23:48:00,0 days 03:21:00,00020_03-01-2025-20.27,414.0,S-103,40.2,48.36
00005,60000,71801,OUIGO,OUIGO,2025-01-03 21:02:00,2025-01-03 23:54:00,0 days 02:52:00,00005_03-01-2025-21.02,509.0,S-108,19.0,44.17
00007,60000,71801,AVE,AVE,2025-01-03 21:07:00,2025-01-03 23:59:00,0 days 02:52:00,00007_03-01-2025-21.07,414.0,S-103,68.95,79.1
00021,60000,71801,AVLO,AVLO,2025-01-04 06:27:00,2025-01-04 09:25:00,0 days 02:58:00,00021_04-01-2025-06.27,581.0,S-106,25.0,25.95
00005,60000,71801,OUIGO,OUIGO,2025-01-04 07:02:00,2025-01-04 09:54:00,0 days 02:52:00,00005_04-01-2025-07.02,509.0,S-108,35.0,37.37
00006,60000,71801,AVE,AVE,2025-01-04 07:27:00,2025-01-04 10:46:00,0 days 03:19:00,00006_04-01-2025-07.27,414.0,S-103,45.95,50.71
00009,60000,71801,IRYO,IRYO,2025-01-04 08:07:00,2025-01-04 10:59:00,0 days 02:52:00,00009_04-01-2025-08.07,461.0,S-109,35.57,20.01
00007,60000,71801,AVE,AVE,2025-01-04 08:27:00,2025-01-04 11:19:00,0 days 02:52:00,00007_04-01-2025-08.27,414.0,S-103,45.95,31.26
00008,60000,71801,AVE,AVE,2025-01-04 08:57:00,2025-01-04 11:41:00,0 days 02:44:00,00008_04-01-2025-08.57,836.0,S-103,47.45,50.07
00009,60000,71801,IRYO,IRYO,2025-01-04 09:22:00,2025-01-04 12:14:00,0 days 02:52:00,00009_04-01-2025-09.22,461.0,S-109,35.57,44.32
00010,60000,71801,AVE,AVE,2025-01-04 09:27:00,2025-01-04 12:41:00,0 days 03:14:00,00010_04-01-2025-09.27,414.0,S-103,45.95,52.5
00009,60000,71801,IRYO,IRYO,2025-01-04 09:57:00,2025-01-04 12:49:00,0 days 02:52:00,00009_04-01-2025-09.57,461.0,S-109,41.04,28.13
00011,60000,71801,OUIGO,OUIGO,2025-01-04 10:02:00,2025-01-04 13:04:00,0 days 03:02:00,00011_04-01-2025-10.02,509.0,S-108,35.0,37.53
00012,60000,71801,AVLO,AVLO,2025-01-04 10:27:00,2025-01-04 13:19:00,0 days 02:52:00,00012_04-01-2025-10.27,581.0,S-106,39.0,42.95
00009,60000,71801,IRYO,IRYO,2025-01-04 11:22:00,2025-01-04 14:14:00,0 days 02:52:00,00009_04-01-2025-11.22,461.0,S-109,35.57,40.08
00006,60000,71801,AVE,AVE,2025-01-04 11:27:00,2025-01-04 14:46:00,0 days 03:19:00,00006_04-01-2025-11.27,803.0,S-103,40.2,35.48
00009,60000,71801,IRYO,IRYO,2025-01-04 12:22:00,2025-01-04 15:14:00,0 days 02:52:00,00009_04-01-2025-12.22,461.0,S-109,31.2,26.02
00013,60000,71801,AVE,AVE,2025-01-04 12:27:00,2025-01-04 15:44:00,0 days 03:17:00,00013_04-01-2025-12.27,378.0,S-103,45.95,45.91
00014,60000,71801,AVE INT,AVE INT,2025-01-04 13:18:00,2025-01-04 16:22:00,0 days 03:04:00,00014_04-01-2025-13.18,339.0,S-100,68.95,66.19
00015,60000,71801,OUIGO,OUIGO,2025-01-04 14:12:00,2025-01-04 16:49:00,0 days 02:37:00,00015_04-01-2025-14.12,509.0,S-108,19.0,23.67
00017,60000,71801,IRYO,IRYO,2025-01-04 14:42:00,2025-01-04 17:41:00,0 days 02:59:00,00017_04-01-2025-14.42,461.0,S-109,34.77,36.57
00018,60000,71801,AVLO,AVLO,2025-01-04 15:27:00,2025-01-04 18:46:00,0 days 03:19:00,00018_04-01-2025-15.27,547.0,S-106,25.0,22.04
00007,60000,71801,AVE,AVE,2025-01-04 16:27:00,2025-01-04 19:19:00,0 days 02:52:00,00007_04-01-2025-16.27,414.0,S-103,80.45,82.18
00002,60000,71801,IRYO,IRYO,2025-01-04 16:37:00,2025-01-04 19:14:00,0 days 02:37:00,00002_04-01-2025-16.37,461.0,S-109,30.14,53.61
00015,60000,71801,OUIGO,OUIGO,2025-01-04 17:17:00,2025-01-04 19:54:00,0 days 02:37:00,00015_04-01-2025-17.17,509.0,S-108,22.0,15.4
00018,60000,71801,AVLO,AVLO,2025-01-04 17:27:00,2025-01-04 20:46:00,0 days 03:19:00,00018_04-01-2025-17.27,581.0,S-106,19.0,10.0
00016,60000,71801,AVE,AVE,2025-01-04 18:27:00,2025-01-04 21:24:00,0 days 02:57:00,00016_04-01-2025-18.27,414.0,S-103,80.45,81.9
00009,60000,71801,IRYO,IRYO,2025-01-04 19:29:00,2025-01-04 22:21:00,0 days 02:52:00,00009_04-01-2025-19.29,461.0,S-109,33.76,35.86
00019,60000,71801,AVLO,AVLO,2025-01-04 19:34:00,2025-01-04 22:55:00,0 days 03:21:00,00019_04-01-2025-19.34,581.0,S-106,25.0,19.23
